default_id,default_exercise,default_muscle,default_equipment
150,Elbow plank,Abdominals,Body Only
151,Bottoms Up,Abdominals,Body Only
152,Suspended ab fall-out,Abdominals,Other
153,Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell
154,Standing cable low-to-high twist,Abdominals,Cable
155,Dumbbell spell caster,Abdominals,Dumbbell
156,Decline reverse crunch,Abdominals,Other
157,Spider crawl,Abdominals,Body Only
158,Cocoons,Abdominals,Body Only
159,Cross-Body Crunch,Abdominals,Body Only
160,Single-arm high-cable side bend,Abdominals,Cable
161,Elbow-to-knee crunch,Abdominals,Body Only
162,Decline Crunch,Abdominals,Body Only
163,Hanging toes-to-bar,Abdominals,Body Only
164,Barbell Hip Thrust,Glutes,Barbell
165,Single-leg cable hip extension,Glutes,Cable
166,Glute bridge,Glutes,Body Only
167,Single-leg glute bridge,Glutes,Body Only
168,Step-up with knee raise,Glutes,Body Only
169,Kettlebell thruster,Glutes,Kettlebells
170,Kneeling Squat,Glutes,Barbell
171,Flutter Kicks,Glutes,Weight Bench
172,Glute Kickback,Glutes,Body Only
173,Exercise ball hip thrust,Glutes,Exercise Ball
174,Kneeling Jump Squat,Glutes,Barbell
175,Pull Through,Glutes,Cable
176,Hip Extension with Bands,Glutes,Bands
177,Piriformis SMR,Glutes,Foam Roll
178,Wide-grip barbell curl,Biceps,Barbell
179,EZ-bar spider curl,Biceps,Barbell
180,Hammer Curls,Biceps,Dumbbell
181,EZ-Bar Curl,Biceps,E-Z Curl Bar
182,Zottman Curl,Biceps,Dumbbell
183,Biceps curl to shoulder press,Biceps,Dumbbell
184,Barbell Curl,Biceps,Barbell
185,Concentration curl,Biceps,Dumbbell
186,Flexor Incline Dumbbell Curls,Biceps,Dumbbell
187,Machine Bicep Curl,Biceps,Machine
188,Overhead cable curl,Biceps,Cable
189,Dumbbell Bicep Curl,Biceps,Dumbbell
190,Close-grip EZ-bar curl,Biceps,Barbell
191,Cross-body hammer curl,Biceps,Dumbbell
192,Hip Circles (Prone),Abductors,Body
193,Standing Hip Circles,Abductors,Body Only
194,Clam,Abductors,Body
195,Iliotibial band SMR,Abductors,Foam Roll
196,Thigh abductor,Abductors,Machine
197,Fire Hydrant,Abductors,Body Only
198,Windmills,Abductors,Body Only
199,Monster Walk,Abductors,Body Only
200,IT Band and Glute Stretch,Abductors,Body Only
201,Single-leg lying cross-over stretch,Abductors,Body Only
202,Standing hip circle,Abductors,Body Only
203,Lateral Band Walk,Abductors,Bands
204,Dynamic pigeon stretch,Abductors,Body Only
205,Cross-over jack,Abductors,Body Only
206,Traveling thigh killa,Abductors,Body Only
